Data Broker Name,Email Address (Accessible to the public),Website URL,Privacy policy URL,Opt out URL,Physical Address,How a consumer may opt out of sale or submit requests under the CCPA,How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1),Additional information about data collecting practices,Date Added to California AG list ( https://oag.ca.gov/data-brokers ),Kanary,Vermont ID,stopdatamining.me,Criteo data partner,Excessive opt-out,Notes
LO-EmailListcom LLC,JayDunsing [at] gmail.com,http://loanofficercontactinfo.com,,,"7200 East Ashling LaneTucson, AZ 85715United States","Fill out a form on my website or simply send an email making the request. However, the lists we provide are for business to business purposes only. We will be launching a secondary website specialtycontactdatabases.com in January 2020.","Fill out a form on my website or simply send an email making the request. However, the lists we provide are for business to business purposes only. We will be launching a secondary website specialtycontactdatabases.com in January 2020.",,01/16/2020,,,,,,
locate family,,,,,,,,,,13 Apr 2020,,,,,
LocatePeople.org,,,,http://www.locatepeople.org/index.php?xpath=privacy,,Look up your information. Opt-out only in certain conditions.,,,,,,14 Apr 2020,,,
LocatePLUS,customerservice@locateplus.com,,,https://www.locateplus.com/privacy.asp,,Pay $25. Mail information requested.,,,,,,14 Apr 2020,,,
LookUp,,,,http://www.lookup.com/optout.php,,,,,,,,,,,
"Lotame Solutions, Inc.",privacy [at] lotame.com,https://www.lotame.com/,,https://www.lotame.com/about-lotame/privacy/opt-out/,"8850 Stanford Blvd, Suite 4000Columbia, MD 21045United States","Please visit Lotame's Privacy Center (https://www.lotame.com/about-lotame/privacy/) and our Privacy Manager, available at:

https://www.lotame.com/about-lotame/privacy/privacy-manager-opt-out/","Please visit Lotame's Privacy Center (https://www.lotame.com/about-lotame/privacy/) and our Privacy Manager, available at:

https://www.lotame.com/about-lotame/privacy/privacy-manager-opt-out/","Please visit Lotame's Privacy Center (https://www.lotame.com/about-lotame/privacy/) and our Privacy Manager, available at:

https://www.lotame.com/about-lotame/privacy/privacy-manager-opt-out/",02/27/2020,,,,,,
"Lundquist Consulting, Inc.",,www.lciinc.com,,,"111 Anza Blvd. #310, Burlingame, CA, 94553, USA",,,,,,367718,,,,
Lusha Systems Inc,Privacy [at] Lusha.co,https://www.Lusha.co/,,,"1177 Avenue of the Americas, 5th FloorNew York, NY 10036United States","We have dedicated ""Do Not Sell My Personal Information"" page which is available at this link: 
https://dashboard.lusha.co/opt-out?ccpa=true","Our ""Do Not Sell My Personal Information"" page is removing automatically the information from our database",,03/19/2020,,,,,,
"Market Research Associates, Inc.",sales [at] marketresearchassociatesinc.com,http://www.marketresearchassociatesinc.com,,,"PO Box 100Danville, VT 05828United States",There will be a link on the home page of the website allowing California individuals to see what information is known about them through Alerts.com They will also be able to call toll free 1-833-495-0111,"Either by following the link on the home page or by calling toll free 1-833-495-0111. If calling, we only need their name, address and phone number; no other information. The data will be removed per their request.","Most of the data we rent for clients goes directly from the list owner to the print shop (direct mail), a computer service bureau (direct mail or e-mail deployment) or to our client (for telemarketing); not through us. All clients who do telemarketing to consumers have valid SAN numbers and data is scrubbed against the Do Not Call. Direct mail clients use the DMA's Mail Preference Service. Any e-mail data rented to our clients is opt in only. All individuals have the right to know what information is known about them and control over it, including the right to have this information deleted. This is detailed in our Privacy Policy on our website.",01/29/2020,,,,,,
"Marketing Information Specialists, Inc",info [at] misdp.com,http://www.misdp.com,,,"31103 Rancho Viejo Rd#D2-548San Juan Capistrano, CA 92675United States",info@misdp.com or call (949) 493-9340,info@misdp.com or call (949) 493-9340,,02/07/2020,,,,,,
Martin Data LLC,ccpa [at] usinfosearch.com,http://www.martin-data.com,,,"735 Taylor Rd STE 220Columbus, OH 43230United States",Please go to www.martindataoptout.com to start the process.,Please go to www.martindataoptout.com to start the process.,,02/07/2020,,357023,,,,Martin Data LLC
"MaxMind, Inc.",legal [at] maxmind.com,https://www.maxmind.com,,,"14 Spring St.Suite 3Waltham, MA 02451United States","We have a toll free number, email submissions to california-privacy@maxmind.com mailbox, and a webform on our website for consumers to fill out. 

All submission methods are available on our Privacy Policy, which can be found here https://www.maxmind.com/en/privacy-policy","We have a toll free number, email submissions to california-privacy@maxmind.com mailbox, and a webform on our website for consumers to fill out. 

All submission methods are available on our Privacy Policy, which can be found here https://www.maxmind.com/en/privacy-policy",All of the ways we collect data and how we use the data are laid out in our Privacy Policy.,02/12/2020,,,,,,
MCH Strategic Data,privacy [at] mchdata.com,http://www.mchdata.com,,,"601 East Marshall StreetSweet Springs, MO 65351United States",Information can be found at https://www.mchdata.com/about/ccpaemail or call us directly at 800 776-6373,Information can be found at https://www.mchdata.com/about/ccpaemail or call us directly at 800 776-6373,"MCH Strategic Data is a 90-year-old family business that specializes in business to business data compilation for the market segments of education, healthcare, church and government work address contact information. MCH does not make a practice of compiling personal information on individuals beyond their job titles and work department-level information. Personally descriptive information (age, income, etc) is ""not"" found in MCH databases.",02/27/2020,,,,,,
"MCH, Inc. (DBA: MCH Strategic Data)",,https://www.mchdata.com/,,,"601 E. Marshall St, PO Box 295, Sweet Springs, MO, 65351, USA",,,,,,367015,,,,
"Media Direct, Inc.",Seth [at] LubinLawFirm.com,http://digdevdirect.com,,,"1000 E. Hillsboro Blvd, #105Deerfield Beach, FL 33441United States","1. On the bottom of every page of our website, we have 2 links that a California Consumer may use. A) A ""Do Not Sell My Information Link"" where the consumer can have their name removed; and B) an ""Opt Out"" link that will achieve the same result. 
2. According to our Privacy Policy, the consumer can call our toll-free number or send us mail at the address listed, requesting to be removed from analysts we have or to opt-out.","According to our Privacy Policy, the consumer can call our toll-free number (800-305-5500) or send us mail at the address listed (Media Direct, Inc., Attn: Privacy Administrator, 1000 E Hillsboro Blvd #105, Deerfield Beach, FL, 33441), requesting deletion of information.",,02/07/2020,,,,,,
Media Source Solutions,mvolpe [at] mediasourcesolutions.com,http://mediasourcesolutions.com,,,"27 SE 24th AvenueSuite 6Pompano Beach, FL 33062United States","Please contact us at:
Media Source Solutions
Attn: Privacy Officer
27 SE 24th Avenue, Suite 6
Pompano Beach, FL 33062
Phone: 954-788-0213
Email: privacyofficer@mediasourcesolutions.com","Please contact us at:
Media Source Solutions
Attn: Privacy Officer
27 SE 24th Avenue, Suite 6
Pompano Beach, FL 33062
Phone: 954-788-0213
Email: privacyofficer@mediasourcesolutions.com",,03/03/2020,,,,,,
"MediaMath, Inc.",privacy [at] mediamath.com,https://www.mediamath.com/,,,"4 World Trade Center, 45th FloorNew York, NY 10007United States","Please visit our Privacy Policy, specifically the section “Your legal rights”. 
http://www.mediamath.com/privacy-policy/#Section-11","Please visit our Privacy Policy, specifically the section “Your legal rights”. 
http://www.mediamath.com/privacy-policy/#Section-11","Please visit our Privacy Policy to learn more about how we collect and use personal information. 
http://www.mediamath.com/privacy-policy/",02/12/2020,,,,,,
Mediarithmics,,,https://www.mediarithmics.com/en-us/content/privacy-policy,,,,,,,,,,25 May 2020,,
Mediawallah,,,https://www.mediawallah.com/privacy-policy,,,,,,,,,,25 May 2020,,
Megaphone LLC,contact [at] megaphone.fm,http://www.megaphone.fm,,,"1255 23rd Street NWSuite 650, DC 20037United States","A consumer may opt out of the sale or submit requests under CCPA by phone, or on Megaphone.fm.",A consumer can demand a deletion of information by phone or on Megaphone.fm.,,03/03/2020,,,,,,
Melissa Corporation,CCPArequest [at] melissa.com,https://www.melissa.com/,,,"22382 Avenida EmpresaRancho Santa Margarita, CA 92688United States","California consumers may submit a request to exercise their Right to Know, Right to Opt-Out of Sale, and/or Right to Delete by filling out a dedicated web form on our website, emailing a request to CCPArequest@melissa.com or contacting technical support by phone at 1 800 800 6245 x4 for further instructions. More detailed information about CCPA requests is available on the Melissa Privacy page at: https://www.melissa.com/privacy.","California consumers may submit a request to exercise their Right to Delete by filling out a dedicated web form on our website (https://www.melissa.com/user/ccpa.aspx), emailing a request to CCPArequest@melissa.com or contacting technical support by phone at 1 800 800 6245 x4 for further instructions. More detailed information about CCPA requests is available on the Melissa Privacy page at: https://www.melissa.com/privacy.",For a more detailed description of Melissa Corporation data privacy practices please visit our privacy policy page at: https://www.melissa.com/privacy.,02/07/2020,13 Apr 2020,,,,,
Melissa Data Corporation,,https://www.melissa.com/,,,"22382 Avenida Empresa, Rancho Santa Margarita, CA, 92688, USA",,,,,,367800,,,,
MelissaData.com,,,,http://www.people-finders.ws/privacy.aspx?popup=true,,Look up your information. Mail information requested.,,,,,,14 Apr 2020,,,
Meredith Corporation,,,,http://www.meredith.com/privacy.html#howwedisclose,,"Mail request to ""Meredith Corporation, Opt-Out Postal, Attn: Circulation, 1716, Locust Street, Des Moines, Iowa 50309.""",,,,,,14 Apr 2020,,,
MeritDirect,privacy [at] meritdirect.com,http://www.meritdirect.com,,http://go.meritdirect.com/CCPA_YourRights_,"2 International DriveRye Brook, NY NY 10573United States","California consumers may now easily submit an opt-out request by submitting an online request via our webform, found here: http://go.meritdirect.com/CCPA_YourRights_or calling our Toll-Free Number (800) 368-7602 and following the prompts on the recorded message. Mail requests need to be sent to the Compliance Officer, 2 International Drive, Rye Brook, NY, 10573. Detailed information and instructions on how a California consumer may exercise their rights under CCPA can also be found in our Privacy Policy www.meritdirect.com/privacy-policy.

Please describe your request with sufficient detail that allows us to properly understand, evaluate, and respond to it.

As required by law, we may take steps to verify your identity before granting you access to your information or completing your request to exercise your rights. Under CCPA regulations we will acknowledge your request within 10 days and confirm this has been done within 45 days of your request submission. We do not charge a fee for processing your request to exercise your rights.","California consumers and/or elected or appointed officials may submit an opt-out request online via our webform, found here: http://go.meritdirect.com/CCPA_YourRights_or calling our Toll-Free Number (800) 368-7602 and following the prompts on the recorded message. Mail requests need to be sent to the Compliance Officer, 2 International Drive, Rye Brook, NY, 10573.","An in-depth Overview of MeritDirect’s data collection/processing practices can be found at www.meritdirect.com/privacy-policy.

MeritDirect does not collect information directly from consumers. We are a business-to-business service provider.",02/12/2020,,,,,,
Merkle Inc.,dpous [at] merkleinc.com,https://www.merkleinc.com/,,http://www.merkleinc.com/privacy,"7001 Columbia Gateway DrColumbia, MD 21046United States","Consumers may request to exercise their rights by:

•Completing the online form https://www.merkleinc.com/getting-know-your-privacy-rights/control-your-data or
•Calling us at (+1) (833) 457-0192 or
•Emailing your request to dpous@merkleinc.com 

•Requests can be made by the consumer or by the consumer’s authorized agent and are subject to verification. More detailed information on how consumers may opt out of sale or submit requests under CCPA can be found at https://www.merkleinc.com/getting-know-your-privacy-rights/privacy-notice 

https://www.4cite.com/4cite-marketing-llc-privacy-policy/ccpa/
https://compliance.4cite.com/d330f92c-d2d2-491f-a1cd-6c0e3a865a5a/right-to-know/
https://compliance.4cite.com/d330f92c-d2d2-491f-a1cd-6c0e3a865a5a/request-to-delete/","California consumers and/or elected or appointed officials may submit a request by:
Complete online form https://www.merkleinc.com/getting-know-your-privacy-rights/control-your-data
Email dpous@merkleinc.com 
Telephone (+1) (833) 457-0192 

https://www.4cite.com/4cite-marketing-llc-privacy-policy/ccpa/
https://compliance.4cite.com/d330f92c-d2d2-491f-a1cd-6c0e3a865a5a/right-to-know/
https://compliance.4cite.com/d330f92c-d2d2-491f-a1cd-6c0e3a865a5a/request-to-delete/","Please see our Privacy Notice on our website for additional information about Merkle’s data collection practices. 
https://www.merkleinc.com/getting-know-your-privacy-rights/privacy-notice 

https://www.4cite.com/4cite-marketing-llc-privacy-policy/ccpa/
https://compliance.4cite.com/d330f92c-d2d2-491f-a1cd-6c0e3a865a5a/right-to-know/
https://compliance.4cite.com/d330f92c-d2d2-491f-a1cd-6c0e3a865a5a/request-to-delete/",01/31/2020,,366588,14 Apr 2020,,,Merkle Inc.
Merlin Information Services,,,,https://www.merlindata.com/privacystatement.asp#Opt,,Email or fax information requested.,,,,,,14 Apr 2020,,,
"MH Sub I, LLC",privacy [at] internetbrands.com,http://www.internetbrands.com,,,"909 N. Pacific Coast Highway11th FloorEl Segundo, CA 90245United States",California consumers submit requests under the CCPA by visiting https://www.internetbrands.com/privacy/privacy-contact-form.php,California consumers request deletion of information posted under Gov. Code sections 6208.1(b) or 6254.21(c)(1) by sending an email to privacy@internetbrands.com,Consumers can refer to our published privacy policy located at https://www.internetbrands.com/privacy/privacy-main.html,03/03/2020,,,,,,
"Modernize, Inc.",,https://modernize.com/,,,"804 Congress Ave, Ste 400, Austin, TX, 78701, USA",,,,,,367287,,,,
Monevo Inc,supportusa [at] monevo.com,https://www.monevo.us/,,,"8910 University Center LaneSuite 400San Diego, CA 92122United States",Consumers can manage their opt-out preferences and submit requests under the CCPA through https://www.monevo.us/privacy-portal.,"Monevo Inc does not post or publicly display consumer information online. However, consumers can request the deletion of their information through https://www.monevo.us/privacy-portal.","Additional information regarding how Monevo collects, uses, and shares data can be found at https://www.monevo.us/privacy-policy.",01/31/2020,,,,,,
Money Mailer,,,,http://www.moneymailerdirect.com/PrivacyPolicy.aspx,,"Email, mail, or telephone information requested.",,,,,,14 Apr 2020,,,
mParticle,,,https://www.mparticle.com/privacypolicy,,,,,,,,,,25 May 2020,,
MyLife,removalrequests@mylife.com,https://www.mylife.com/,,,,,,,,13 Apr 2020,,,,,https://www.vice.com/en_us/article/ne9b3z/how-to-get-off-data-broker-and-people-search-sites-pipl-spokeo
"NATIONAL CONSUMER TELECOM & UTILITIES EXCHANGE, INC.",,www.nctue.com,,,"751 Plaza Blvd, Coppell, TX, 75019, USA",,,,,,353366,,,,
National Do Not Call Registry,,,,https://www.donotcall.gov/register/reg.aspx,,Fill out online form.,,,,,,14 Apr 2020,,,
NATIONAL STUDENT CLEARINGHOUSE,,www.studentclearinghouse.org,,,"2300 Dulles Station Blvd, Suite 220, Herndon, VA, 20171, USA",,,,,,353284,,,,
"Nativo, Inc.",privacy [at] nativo.com,https://www.nativo.com,,,"100 N. Pacific Coast Highway10th FloorEl Segundo, CA 90245United States","A consumer may opt out of sale or submit requests under the CCPA by contacting us by telephone at 1-855-905-0440, by email at privacy@nativo.com, or by filling out the form at https://support.nativo.com/hc/en-us/requests/new. The request must: (a) provide sufficient information that allows us to reasonably verify that the consumer is the person about whom we collected personal information or an authorized representative; and (b) describe the request with sufficient detail that allows us to properly understand, evaluate, and respond to it.",Nativo does not knowingly and intentionally publicly post or publicly display on the Internet the home address or home telephone number of individuals.,"For information about how Nativo, Inc. collects and uses personal information in providing our technology to website and mobile app publishers and online advertisers, please see https://www.nativo.com/interest-based-ads. 

For information about how Nativo, Inc. collects and uses personal information when individuals visit our website available at www.nativo.com or any other Nativo web property or service referencing our Website Privacy Policy, please see https://www.nativo.com/privacy-policy.",02/27/2020,,,,,,
NCR Corporation,,www.ncr.com,,,"864 Spring Street NW, Atlanta, GA, 30308, USA",,,,,,367368,,,,
"Neustar, Inc.",privacy@team.neustar,https://www.home.neustar,https://www.home.neustar/privacy,https://www.home.neustar/privacy,"21575 Ridgetop CircleSterling, VA 20166United States","The best way for consumers to opt-out of sale or otherwise submit requests in connection with CCPA is through Neustar's privacy choices portal, which can be accessed by visiting Neustar's privacy choices page here: https://www.home.neustar/privacy/opt-out and then clicking on the “Neustar Choices portal” link. 

If you have more questions about Neustar’s privacy policies, please visit our privacy center found here: https://www.home.neustar/privacy or contact us via email direct to privacy@team.neustar.",Neustar does not publicly post or or display personal information of a protected individual and therefore is not subject to Gov. Code sections 6208.1(b) or 6254.21(c)(1). Any consumer may request deletion through Neustar's privacy choices portal which can be accessed by visiting Neustar's privacy choices page here: https://www.home.neustar/privacy/opt-out and then clicking on the “Neustar Choices portal” link .,"For more information about how Neustar processes personal information, please visit our privacy center found here: https://www.home.neustar/privacy.",03/23/2020,,370100,,25 May 2020,,"Neustar, Inc."
"Next Wave Marketing Strategies, Inc",troy [at] nextwavemarketingstrategies.com,http://www.nextwavemarketingstrategies.com,,,"15527 Jasmine PlaceTustin, CA 92782United States","A consumer may opt out of sale or submit requests under the CCPA by calling our toll free phone number, by email, by direct mail or by online form submission found by clicking on CCPA privacy rights request form link within our Privacy Notice for California residents page found by clicking Do Not Sell My Information button on my site.","A consumer may opt out by calling our toll free phone number, by email, by direct mail or by online form submission found by clicking on CCPA Opt-Out form link within our Privacy Notice for California residents page found by clicking Do Not Sell My Information button on my site.",,01/31/2020,,,,,,
"NextRoll, Inc.",legal [at] nextroll.com,https://www.nextroll.com/,,,"2300 Harrison StreetSan Francisco, CA 94110United States","A consumer can opt out of sale of personal information by visiting this webpage https://app.adroll.com/optout/email. This page can be navigated to by clicking on “Do not sell my personal information” link which is located on the bottom of our NextRoll webpages and is also in the NextRoll Privacy Notice.

Additionally, consumers whose business email is subject to a sale via NextRoll's B2B marketing platform (known as RollWorks) can click the link included in the email sent by NextRoll providing a notice and opportunity to opt out of sale. 

A consumer can submit requests under the CCPA by:
(a) visiting this website: https://www.nextroll.com/privacy/requests;or 
(b) calling NextRoll at 1-844-740-7126.","NextRoll does not display or permit the display of such information, or operate a website that involves user generated content.","For more information about our data collection practices, please see the NextRoll Privacy Notice (https://www.nextroll.com/privacy).",02/12/2020,,,,,,
"Nexxa Group, Inc.",,,,,"12734 Kenwood Lane, Ste 87, Fort Myers, FL, 33907 - 5638, USA",,,,,,366904,,,,
"NFocus Consulting, Inc.",consumer [at] n-focus.com,http://www.n-focus.com,,,"1594 Hubbard Dr.Lancaster, OH 43130United States","Consumers will be able to submit a request by calling (844) 201-3013, emailing consumer@n-focus.com or completing the appropriate web form at n-focus.com.","Consumers will be able to submit a request by calling (844) 201-3013, emailing consumer@n-focus.com or completing the appropriate web form at n-focus.com.",Consumers will be able to find additional information by visiting n-focus.com,02/12/2020,,367891,,,,"NFocus Consulting, Inc."
Nielsen,,,https://www.nielsen.com/us/en/legal/privacy-statement/,,,,,,,,,,25 May 2020,,
"NMS Data, Inc.",operations [at] neilsonmarketing.com,https://www.neilsonmarketing.com/,,,"23172 Plaza Pointe Dr. #205Laguna Hills, CA 92653United States","email: operations@neilsonmarketing.com
telephone: (800) 736-9741 (toll-free) or (949) 472-2700
mail: NMS Data, Inc., Attention: Operations, 23172 Plaza Pointe Dr #205, Laguna Hills, CA
online: through web forms that are linked to in NMS Data, Inc.'s privacy policy","Not applicable: NMS Data, Inc. does not publicly post online applicable information of individuals","Additional information can be found in NMS Data, Inc.'s privacy policy:
https://www.neilsonmarketing.com/privacy-security-policy/",03/23/2020,,,,,,
Nuwber Inc,,https://nuwber.com/,,https://nuwber.com/removal/link,"901 N Pitt Street, Suite 170, Alexandria, VA, 22314, USA",,,,,,366757,,,,
ok caller,,,,,,,,,,13 Apr 2020,,,,,
Omnicom,privacy@omnicommediagroup.com,,,,,,,,,,,,,,
"On Hold-America, Inc. DBA KYC Data",consumers [at] kycdata.com,https://www.kycdata.com,,,"5480 Sandstone CtCumming, GA 30040United States","A consumer may either visit our consumer web portal, https://consumer.kycdata.com, or they may send an email to consumer@kycdata.com

Both the opt out and delete options are available along with any information we have on that consumer.","A consumer may either visit our consumer web portal, https://consumer.kycdata.com, or they may send an email to consumer@kycdata.com

Both the opt out and delete options are available along with any information we have on that consumer.","KYC Data is a compiler of mortgages and deeds. The names, addresses, mortgage amount and sales price information is sold for both marketing and research purposes. More specific information is available on our web site at: https://www.kycdata.com/for-consumers/

We do not track information as a consumer moves from point a to point b. We do not compile other personal information.

We do have the ability to merge our deed (mortgages and warranty deeds) data with large data providers to provide more discrete targeting.

We have arranged with our aggregator partners (customers who purchase our data for resell and merge with other consumer data), the ability to periodically send them opt out and delete requests.

Note, KYC Data does purchases data from a third party in the state of California; we do not compile that information ourselves. This is unlike our normal operations where we hire individuals and companies to either physically enter the court house, or log on to a system to compile the data.",03/19/2020,,,,,,
Optimal Fusion,dataprotection [at] optimalfusion.com,http://www.optimalfusion.com,,,"1635 North Cahuenga BlvdSuite 500los angeles, CA 90028United States","Consumers can visit www.OptimalFusion.com and click on the hyperlink at the footer of the page that says “DO NOT SELL MY PERSONAL INFORMATION.” Once they do so, they will be directed to our CCPA compliant privacy policy which will automatically scroll the page to the relevant paragraph https://optimalfusion.com/privacy#CCPA . The email address to our Data Protection Officer (dataprotection@optimalfusion.com), along with a toll free phone number (866-764-1025) is provided herein. Consumers can utilize either method to request that their information is not sold.","Consumers can visit www.OptimalFusion.com and click on the hyperlink at the footer of the page that says “DO NOT SELL MY PERSONAL INFORMATION.” Once they do so, they will be directed to our CCPA compliant privacy policy which will automatically scroll the page to the relevant paragraph https://optimalfusion.com/privacy#CCPA . The email address to our Data Protection Officer (dataprotection@optimalfusion.com), along with a toll free phone number (866-764-1025) is provided herein. Consumers can utilize either method to request that their information is deleted.",Data is collected in compliance with our privacy policy and CCPA.,01/30/2020,,,,,,
"Oracle America, Inc. (Oracle Data Cloud)",privacy_ww [at] oracle.com,http://www.oracle.com,https://www.oracle.com/legal/privacy/marketing-cloud-data-cloud-privacy-policy.html,https://datacloudoptout.oracle.com/#optout,"500 Oracle Parkway, Redwood Shores, CA, 94065, USA","The Oracle Data Cloud (“ODC”) provides opt-out options in the ODC Privacy Policy, available at https://www.oracle.com/legal/privacy/marketing-cloud-data-cloud-privacy-policy.html#12. Consumers can also opt out with the ODC at https://datacloudoptout.oracle.com/.",Individuals can request deletion of all their online and offline information by opting out of ODC services using the ODC opt-out tool available at https://datacloudoptout.oracle.com/.,Detailed information on the ODC’s processing practices for consumer data is available at https://www.oracle.com/legal/privacy/marketing-cloud-data-cloud-privacy-policy.html.,,,352759,14 Apr 2020,25 May 2020,,
ORIGIN8 INC,compliance [at] pushint.com,https://www.pushint.com,,,"225 Thomas Ave NMinneapolis, MN 55405United States","Please email your requests to compliance@pushint.com, call us at 612-500-4420, or submit a request through https://pushint.com/manage-my-data","Please email your requests to compliance@pushint.com, call us at 612-500-4420, or submit a request through https://pushint.com/manage-my-data","We capture data from internally owned and operated websites under a variety of brands, and either provide the requested services to the customer, or distribute the data to a 3rd party to provide the required services with the customers permission.",02/07/2020,,367632,,,,ORIGIN8 INC
Otonomo Inc.,privacy [at] otnomo.io,http://www.otonomo.io,,,"889 Winslow Street Suite 500Redwood City, CA 94062United States",,,,02/07/2020,,,,,,
Outbrain Inc.,legal [at] outbrain.com,http://outbrain.com,,,"39 West 13th StreetNew YorkNew York, NY 10011United States","California residents may opt out of the sale of personal information via our Interest Profile (https://my.outbrain.com/recommendations-settings/home). In addition, they can exercise their rights by contacting us either (1) via email at privacyquestions@outbrain.com; or (2) via our toll free number on 1-866-I-OPT-OUT and entering service code 253#; or (3) by mail to Outbrain Inc., 39 West 13th Street, 3rd floor, New York, NY 10011, Attn: Privacy Questions.","California residents can exercise their right to deletion by contacting us either (1) via email at privacyquestions@outbrain.com; or (2) via our toll free number on 1-866-I-OPT-OUT and entering service code 253#; or (3) by mail to Outbrain Inc., 39 West 13th Street, 3rd floor, New York, NY 10011, Attn: Privacy Questions.",,03/11/2020,,,,,,
Oxydata,privacy@oxydata.io,https://www.oxydata.io/,,,,,,,,,,,,,
PacificEast Research Inc.,privacy [at] pacificeast.com,http://www.pacificeast.com,,,"8625 SW Cascade AvenueSuite 250Beaverton, OR 97008United States","Consumers can view instructions related to CCPA or GDPR Compliance at https:\\www.pacificeast.com/privacy-policy, send an email to privacy@pacificeast.com or call PacificEast at 800-665-8400.","Consumers can view instructions related to CCPA or GDPR Compliance at https:\\www.pacificeast.com/privacy-policy, send an email to privacy@pacificeast.com or call PacificEast at 800-665-8400.",More information available at https:\\www.pacificeast.com/privacy-policy,02/27/2020,,,,,,
Partners Credit and Verification Solutions,,www.partnerscredit.com,,,"65 E. Wacker Place, Suite 1405, Chicago, IL, 60601, USA",,,,,,367870,,,,
Path2Response,privacyinfo [at] path2response.com,https://path2response.com,,,"1805 Highway 422nd FloorLouisville, CO 80027United States","Consumers should go to https://path2response.com/consumer-privacy to submit CCPA requests (Opt-Out from Sale or Access your Data). Consumers may also call 1-888-914-9661, PIN 625-484.","Consumers should go to https://path2response.com/consumer-privacy to submit CCPA requests (Delete your Data). Consumers may also call 1-888-914-9661, PIN 625-484.",,02/12/2020,,352839,,,,Path2Response
"Paynet, Inc.",usprivacy [at] equifax.com,https://paynet.com/,,,"66 Wellington Street WestSuite 5300, Toronto Dominion Bank TowerToronto, ON M5K 1E6Canada",Through a link at https://www.equifax.com/personal/,We do not post personal information online so this is not applicable.,Please visit https://www.equifax.com/privacy/privacy-statement/ to review our Privacy Statement for more information.,02/27/2020,,,,,,
PeekYou,,peekyou.com,,https://www.peekyou.com/about/contact/optout/index.php,"PO Box 705, Ashburn, VA 20146
                    ",,,,,,,,,,https://www.vice.com/en_us/article/ne9b3z/how-to-get-off-data-broker-and-people-search-sites-pipl-spokeo
People Data Labs,,https://www.peopledatalabs.com/,,https://www.peopledatalabs.com/opt-out-form,"11175 Santa Monica Blvd., Los Angeles, CA 90025",,,,,,,,,,
People Finders,,http://www.people-finders.ws/privacy.aspx?popup=true,,,,,,,,,,,,,
people search,,,,,,,,,,13 Apr 2020,,,,,
People Search Pro,,,,http://www.peoplesearchpro.com/PSP.aspx?_act=optout,,Look up your information. Fill out online form.,,,,,,14 Apr 2020,,,
People Smart,privacy@peoplesmart.com,https://www.peoplesmart.com/optout-policy,,https://www.peoplesmart.com/optout-go,,,,,,,,,,,https://www.vice.com/en_us/article/ne9b3z/how-to-get-off-data-broker-and-people-search-sites-pipl-spokeo
PeopleByName,,,,http://www.peoplebyname.com/remove.php,,,,,,13 Apr 2020,,,,,
"PeopleConnect, Inc.",privacy [at] peopleconnect.us,http://www.intelius.com,,,"1501 4th AvenueSuite 400Seattle, WA 98101United States",California consumers may opt out of the sale of their personal under the CCPA by visiting https://www.intelius.com/optout or by sending an email to priorityoptout@intelius.com. Information on how California consumers may submit other types of requests under CCPA can be found in our Privacy Policy located at http://www.peopleconnect.us/privacy.,Protected individuals can demand deletion of information under Gov. Code Sections 6208.1(b) or 6254.21(c)(1) by using our online opt-out tool located at https://www.intelius.com/optout or by sending an email to priorityoptout@intelius.com.,,02/12/2020,,367719,,,,"PeopleConnect, Inc."
PeopleFinder,,,,http://www.peoplefinder.com/optout.php,,,,,,13 Apr 2020,,,,,
PeopleFinders.com,,,,http://www.peoplefinders.com/privacy.aspx,,Look up your information. Mail information requested.,,,,,,14 Apr 2020,,,
PeopleLooker,,,,https://peoplelookup.com/privacy-policy#updating-or-removing-your-information,,,,,,,,,,,
Peoplelookup.com,,,,https://peoplelookup.com/privacy-policy#updating-or-removing-your-information,,,,,,13 Apr 2020,,,,,
Peoplelookup.com,,,,http://www.peoplelookup.com/privacy.php,,Look up your information. Fax information requested.,,,,,,14 Apr 2020,,,Afffiliated with or owned by Intelius? Affiliated w. Spock.com?
PeopleSearchNow.com,,,,http://www.peoplesearchnow.com/help/topic.aspx?id=15,,Look up your information. Mail information requested.,,,,,,14 Apr 2020,,,
PeopleSmart,,,,,,,,,,,,,,,See BeenVerified
PeopleWhiz,,peoplewhiz.com,,https://www.peoplewhiz.com/remove-my-info,,,,,,,,,,,
Phone Detective,,,,http://www.phonedetective.com/PD.aspx?_act=OptOut,,Look up your information. Fill out online form.,,,,,,14 Apr 2020,,,
"Pipl, Inc.",susan.haddad [at] pipl.com,https://pipl.com/,,,"510 Clearwater Loop, Ste 100Post Falls, ID 83854United States",A consumer may opt out either by submitting a form on our website or by telephone.,We don't post on the Internet or publicly display the personal information of any consumer.,our practices are outlined in our privacy center on our Website. California residents are directed to a special URL that includes our CCPA privacy statement.,02/07/2020,,367104,,,,"Pipl, Inc."
